CONDITION_NAME,TAM,MORPHEME,FRAME,WOULD_YOU_SAY_THIS,HAVE_YOU_HEARD_THIS,RESPONDENT_ID,AGE,GENDER,REGION,IKIGOYI,IKINYAGISAKA,IKINYAMBO,IKIRERA,IGIKIGA,MULTILINGUALISM,LG_MIXING,EVALUATE_LG_MIXING
FUT0INDDP1,FUT,0,INDDP,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0INDDP2,FUT,0,INDDP,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0INDfinal,FUT,0,INDfinal,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0INDko1,FUT,0,INDko,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0INDko2,FUT,0,INDko,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0INDngo1,FUT,0,INDngo,4,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0INDngo2,FUT,0,INDngo,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0NEG1,FUT,0,NEG,2,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0NEG2,FUT,0,NEG,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0PART1,FUT,0,PART,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0PART2,FUT,0,PART,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0REL1,FUT,0,REL,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUT0REL2,FUT,0,REL,2,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraINDDP1,FUT,ra,INDDP,4,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraINDDP2,FUT,ra,INDDP,5,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraINDfinal1,FUT,ra,INDfinal,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraINDfinal2,FUT,ra,INDfinal,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraINDko1,FUT,ra,INDko,2,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraINDko2,FUT,ra,INDko,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraINDngo1,FUT,ra,INDngo,1,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraINDngo2,FUT,ra,INDngo,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraNEG1,FUT,ra,NEG,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraNEG2,FUT,ra,NEG,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraPART1,FUT,ra,PART,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraPART2,FUT,ra,PART,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraREL1,FUT,ra,REL,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
FUTraREL2,FUT,ra,REL,1,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HAB0INDDP,HAB,0,INDDP,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HAB0INDfinal,HAB,0,INDfinal,4,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HAB0INDko,HAB,0,INDko,5,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HAB0INDngo1,HAB,0,INDngo,2,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HAB0INDngo2,HAB,0,INDngo,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HAB0NEG,HAB,0,NEG,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HAB0PART,HAB,0,PART,4,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HAB0REL,HAB,0,REL,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HABraINDDP,HAB,ra,INDDP,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HABraINDfinal,HAB,ra,INDfinal,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HABraINDko,HAB,ra,INDko,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HABraINDngo1,HAB,ra,INDngo,4,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HABraINDngo2,HAB,ra,INDngo,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HABraNEG,HAB,ra,NEG,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HABraPART,HAB,ra,PART,1,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
HABraREL,HAB,ra,REL,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0INDDP1,PROG,0,INDDP,2,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0INDDP2,PROG,0,INDDP,1,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0INDfinal,PROG,0,INDfinal,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0INDko1,PROG,0,INDko,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0INDko2,PROG,0,INDko,4,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0INDngo1,PROG,0,INDngo,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0INDngo2,PROG,0,INDngo,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0NEG1,PROG,0,NEG,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0NEG2,PROG,0,NEG,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0PART1,PROG,0,PART,1,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0PART2,PROG,0,PART,4,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0REL1,PROG,0,REL,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROG0REL2,PROG,0,REL,1,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraINDDP1,PROG,ra,INDDP,4,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraINDDP2,PROG,ra,INDDP,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraINDfinal1,PROG,ra,INDfinal,4,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraINDfinal2,PROG,ra,INDfinal,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraINDko1,PROG,ra,INDko,4,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraINDko2,PROG,ra,INDko,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraINDngo1,PROG,ra,INDngo,5,5,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraINDngo2,PROG,ra,INDngo,2,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraNEG1,PROG,ra,NEG,1,4,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraNEG2,PROG,ra,NEG,1,1,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
PROGraPART1,PROG,ra,PART,1,2,0,,male,,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,5
